,symbol,datetime,open,high,low,close
105,NOK,2022-06-03 04:00:00,5.03,5.06,5.0,5.04
106,NOK,2022-06-06 04:00:00,5.06,5.09,4.99,5.0
107,NOK,2022-06-07 04:00:00,4.99,5.07,4.96,5.07
108,NOK,2022-06-08 04:00:00,5.01,5.05,4.99,5.01
109,NOK,2022-06-09 04:00:00,4.95,4.98,4.85,4.85
110,NOK,2022-06-10 04:00:00,4.74,4.755,4.68,4.7
111,NOK,2022-06-13 04:00:00,4.63,4.67,4.56,4.57
112,NOK,2022-06-14 04:00:00,4.76,4.78,4.6301,4.67
113,NOK,2022-06-15 04:00:00,4.71,4.82,4.66,4.76
114,NOK,2022-06-16 04:00:00,4.62,4.65,4.56,4.58
115,NOK,2022-06-17 04:00:00,4.65,4.67,4.55,4.59
116,NOK,2022-06-21 04:00:00,4.73,4.7799,4.7,4.71
117,NOK,2022-06-22 04:00:00,4.68,4.74,4.67,4.68
118,NOK,2022-06-23 04:00:00,4.64,4.68,4.58,4.67
119,NOK,2022-06-24 04:00:00,4.69,4.83,4.68,4.81
120,NOK,2022-06-27 04:00:00,4.84,4.87,4.78,4.82
121,NOK,2022-06-28 04:00:00,4.84,4.87,4.74,4.75
122,NOK,2022-06-29 04:00:00,4.76,4.77,4.68,4.71
123,NOK,2022-06-30 04:00:00,4.6,4.65,4.55,4.61
124,NOK,2022-07-01 04:00:00,4.61,4.66,4.5401,4.66
125,NOK,2022-07-05 04:00:00,4.47,4.55,4.41,4.55
126,NOK,2022-07-06 04:00:00,4.51,4.58,4.48,4.56
127,NOK,2022-07-07 04:00:00,4.58,4.64,4.57,4.63
128,NOK,2022-07-08 04:00:00,4.61,4.69,4.59,4.65
129,NOK,2022-07-11 04:00:00,4.59,4.6599,4.58,4.61
130,NOK,2022-07-12 04:00:00,4.6,4.65,4.56,4.57
131,NOK,2022-07-13 04:00:00,4.52,4.61,4.51,4.6
132,NOK,2022-07-14 04:00:00,4.44,4.47,4.37,4.46
133,NOK,2022-07-15 04:00:00,4.53,4.61,4.5,4.61
134,NOK,2022-07-18 04:00:00,4.63,4.66,4.56,4.57
135,NOK,2022-07-19 04:00:00,4.57,4.69,4.56,4.68
136,NOK,2022-07-20 04:00:00,4.68,4.72,4.64,4.7
137,NOK,2022-07-21 04:00:00,4.97,5.14,4.96,5.12
138,NOK,2022-07-22 04:00:00,5.09,5.16,5.075,5.1
139,NOK,2022-07-25 04:00:00,5.12,5.17,5.08,5.11
140,NOK,2022-07-26 04:00:00,5.08,5.09,5.03,5.04
141,NOK,2022-07-27 04:00:00,5.12,5.21,5.1,5.17
142,NOK,2022-07-28 04:00:00,5.15,5.2,5.13,5.2
143,NOK,2022-07-29 04:00:00,5.19,5.2,5.15,5.18
144,NOK,2022-08-01 04:00:00,5.22,5.27,5.185,5.23
145,NOK,2022-08-02 04:00:00,5.17,5.21,5.15,5.15
146,NOK,2022-08-03 04:00:00,5.165,5.22,5.152,5.22
147,NOK,2022-08-04 04:00:00,5.21,5.26,5.2,5.23
148,NOK,2022-08-05 04:00:00,5.15,5.26,5.14,5.26
149,NOK,2022-08-08 04:00:00,5.22,5.28,5.18,5.2
150,NOK,2022-08-09 04:00:00,5.18,5.19,5.07,5.08
151,NOK,2022-08-10 04:00:00,5.2,5.22,5.16,5.21
152,NOK,2022-08-11 04:00:00,5.21,5.25,5.19,5.21
153,NOK,2022-08-12 04:00:00,5.17,5.21,5.16,5.21
154,NOK,2022-08-15 04:00:00,5.1,5.13,5.06,5.11
155,NOK,2022-08-16 04:00:00,5.1,5.18,5.09,5.17
156,NOK,2022-08-17 04:00:00,5.12,5.13,5.02,5.06
157,NOK,2022-08-18 04:00:00,5.07,5.13,5.0423,5.13
158,NOK,2022-08-19 04:00:00,5.05,5.08,5.0,5.04
159,NOK,2022-08-22 04:00:00,4.95,4.96,4.91,4.95
160,NOK,2022-08-23 04:00:00,4.91,5.01,4.905,4.94
161,NOK,2022-08-24 04:00:00,4.91,4.99,4.9,4.95
162,NOK,2022-08-25 04:00:00,4.98,5.07,4.965,5.07
163,NOK,2022-08-26 04:00:00,5.02,5.06,4.87,4.87
164,NOK,2022-08-29 04:00:00,4.82,4.86,4.8,4.81
165,NOK,2022-08-30 04:00:00,4.86,4.875,4.79,4.82
166,NOK,2022-08-31 04:00:00,5.04,5.09,5.03,5.05
167,NOK,2022-09-01 04:00:00,5.0,5.02,4.91,4.98
168,NOK,2022-09-02 04:00:00,5.045,5.08,4.92,4.93
169,NOK,2022-09-06 04:00:00,4.97,4.98,4.88,4.92
170,NOK,2022-09-07 04:00:00,4.94,5.005,4.91,5.0
171,NOK,2022-09-08 04:00:00,4.92,5.01,4.9,5.0
172,NOK,2022-09-09 04:00:00,5.05,5.1,5.04,5.07
173,NOK,2022-09-12 04:00:00,5.14,5.19,5.11,5.13
174,NOK,2022-09-13 04:00:00,5.07,5.09,4.96,4.96
175,NOK,2022-09-14 04:00:00,4.94,4.98,4.89,4.94
176,NOK,2022-09-15 04:00:00,4.91,4.94,4.86,4.87
177,NOK,2022-09-16 04:00:00,4.73,4.7699,4.585,4.63
178,NOK,2022-09-19 04:00:00,4.55,4.69,4.55,4.68
179,NOK,2022-09-20 04:00:00,4.58,4.63,4.555,4.59
180,NOK,2022-09-21 04:00:00,4.55,4.63,4.5,4.5
181,NOK,2022-09-22 04:00:00,4.49,4.5,4.42,4.44
182,NOK,2022-09-23 04:00:00,4.29,4.32,4.22,4.26
183,NOK,2022-09-26 04:00:00,4.24,4.3,4.2,4.24
184,NOK,2022-09-27 04:00:00,4.29,4.32,4.19,4.22
185,NOK,2022-09-28 04:00:00,4.26,4.37,4.24,4.36
186,NOK,2022-09-29 04:00:00,4.28,4.29,4.21,4.28
187,NOK,2022-09-30 04:00:00,4.26,4.34,4.26,4.27
188,NOK,2022-10-03 04:00:00,4.36,4.45,4.33,4.39
189,NOK,2022-10-04 04:00:00,4.54,4.62,4.5348,4.61
190,NOK,2022-10-05 04:00:00,4.54,4.61,4.51,4.56
191,NOK,2022-10-06 04:00:00,4.505,4.55,4.48,4.51
192,NOK,2022-10-07 04:00:00,4.44,4.45,4.39,4.42
193,NOK,2022-10-10 04:00:00,4.41,4.42,4.32,4.35
194,NOK,2022-10-11 04:00:00,4.36,4.4,4.2948,4.31
195,NOK,2022-10-12 04:00:00,4.37,4.41,4.35,4.35
196,NOK,2022-10-13 04:00:00,4.36,4.54,4.32,4.52
197,NOK,2022-10-14 04:00:00,4.55,4.565,4.43,4.45
198,NOK,2022-10-17 04:00:00,4.61,4.66,4.56,4.58
199,NOK,2022-10-18 04:00:00,4.72,4.73,4.62,4.65
200,NOK,2022-10-19 04:00:00,4.61,4.64,4.53,4.56
201,NOK,2022-10-20 04:00:00,4.23,4.33,4.08,4.16
